REACTANT,REAGENT,PRODUCT
C1=CC2(C=C1)CCCC2.CC1=CCC2=C(C1)C(=O)C=CC2=O,,CC1=CCC2=C(C1)C(=O)C1C(C2=O)C2C=CC1C21CCCC1
O=C1C=CC(=O)O1.C=C(C)C1=CCCC(=O)N1C(C)C1=CC=CC=C1,,CC1=C2C(CCC(=O)N2C(C)C2=CC=CC=C2)C2C(=O)OC(=O)C2C1
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl.C=COC1=CC=C([N+](=O)[O-])C=C1,,O=[N+]([O-])C1=CC=C(OC2CC3(Cl)C(Cl)=C(Cl)C2(Cl)C3(Cl)Cl)C=C1
C1=CCC=C1.C=CC(=O)N1C(=O)N(C)C(C)C1C1CCCCC1,,CC1C(C2CCCCC2)N(C(=O)C2CC3C=CC2C3)C(=O)N1C
C1=CCC=C1.O=C(C=CC1=CC=CC=C1)C1=CC=CC=N1,,O=C(C1=CC=CC=N1)C1C2C=CC(C2)C1C1=CC=CC=C1
C1=CCSC=C1.O=C1C=CC(=O)N1C1=CC=CC=C1,,O=C1C2C3C=CC(SC3)C2C(=O)N1C1=CC=CC=C1
CC(C)C(=O)OC=CC(=O)N1C(=O)OCC1CC1=CC=CC=C1.C1=CCC=C1,,CC(C)C(=O)OC1C2C=CC(C2)C1C(=O)N1C(=O)OCC1CC1=CC=CC=C1
O=C1C=CC(=O)N1C1=CC=CC=C1.C=CC1=CCCN1S(=O)(=O)C1=CC=C(C)C=C1,,CC1=CC=C(S(=O)(=O)N2CCC3C2=CCC2C(=O)N(C4=CC=CC=C4)C(=O)C23)C=C1
C=C1C(=CCl)C2OC1C(CCl)C2CCl.N#CC(C#N)=C(C#N)C#N,,N#CC1(C#N)CC2=C(C3OC2C(CCl)C3CCl)C(Cl)C1(C#N)C#N
C=C(C=CN(CC1=CC=CC=C1)C(=O)OC)O[Si](C)(C)C(C)(C)C.CC=C(C)C=O,,COC(=O)N(CC1=CC=CC=C1)C1C=C(O[Si](C)(C)C(C)(C)C)CC(C)C1(C)C=O
C1=CCCC=C1.O=CC=CC1=CC=CC=C1,,O=CC1C2C=CC(CC2)C1C1=CC=CC=C1
CC(C)C1=CC=C(C=CC=O)C=C1.C1=CCC=C1,,CC(C)C1=CC=C(C2C3C=CC(C3)C2C=O)C=C1
CCOC(=O)C1=C2CC3C(C)(C=C2OC1=O)C1CC1C31COC(C)(C)O1.C=CC(C)=CCC=C(C)C,,CCOC(=O)C1=C2CC3C4(COC(C)(C)O4)C4CC4C3(C)C3CC=C(C)C(CC=C(C)C)C23OC1=O
C=CC(=C)C(F)(F)C(=O)C1=CC=CC=C1.CCOC(=O)C#CC(=O)OCC,,CCOC(=O)C1=C(C(=O)OCC)CC(C(F)(F)C(=O)C2=CC=CC=C2)=CC1
O=C1C(C2=CC=CC=C2)=C(C2=CC=CC=C2)C(C2=CC=CC=C2)=C1C1=CC=CC=C1.O=C(OCC1=CC=C([N+](=O)[O-])C=C1)C1=CCC2CC(=O)N12,,O=C1CC2CC3C4(C5=CC=CC=C5)C(=O)C(C5=CC=CC=C5)(C(C5=CC=CC=C5)=C4C4=CC=CC=C4)C3(C(=O)OCC3=CC=C([N+](=O)[O-])C=C3)N12
C1=CCCC=C1.O=C(C=CC(=O)C1=CC=C(F)C=C1)C1=CC=C(F)C=C1,,O=C(C1=CC=C(F)C=C1)C1C2C=CC(CC2)C1C(=O)C1=CC=C(F)C=C1
C=CC=CC1=CC=CC=C1.C=C1CC(=O)OC1=O,,O=C1CC2(CCC=CC2C2=CC=CC=C2)C(=O)O1
C=CC(=C)OC.CC=CC=O,,COC1=CCC(C=O)C(C)C1
C=CC(=C)C1=CC=C(Cl)C=C1.O=C1C=CC(=O)O1,,O=C1OC(=O)C2CC(C3=CC=C(Cl)C=C3)=CCC12
O=C1C=CC(=O)C2=C1C(O)=C1C=CC=CC1=C2Cl.C=C(C=C(OC)O[Si](C)(C)C)O[Si](C)(C)C,,COC1(O[Si](C)(C)C)C=C(O[Si](C)(C)C)CC2C(=O)C3=C(C(=O)C21)C(O)=C1C=CC=CC1=C3Cl
COC(=O)C1=C(C2=CC=CC=C2)C(C2=CC=CC=C2)=C(C(=O)OC)C1=O.C=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,,COC(=O)C12CC(C3=CC=C(OC)C=C3)(C3=CC=C(OC)C=C3)C(C(=O)OC)(C1=O)C(C1=CC=CC=C1)=C2C1=CC=CC=C1
C1=CCC=C1.O=C1C=CS(=O)(=O)C1=CC1=CC=CC=C1,,O=C1C(=CC2=CC=CC=C2)S(=O)(=O)C2C3C=CC(C3)C12
C1=CCC=C1.C=C1CC1,,C1=CC2CC1CC21CC1
C=C(OC(=O)C1=CC=C([N+](=O)[O-])C=C1[N+](=O)[O-])C(C)=O.C=C(C)C=CO[Si](C)(C)C(C)(C)C,,CC(=O)C1(OC(=O)C2=CC=C([N+](=O)[O-])C=C2[N+](=O)[O-])CCC(C)=CC1O[Si](C)(C)C(C)(C)C
C=CC=CNC.C=C(C(=O)OCC)C1=CC=CC=C1,,CCOC(=O)C1(C2=CC=CC=C2)CCC=CC1NC
C1=CCCC=C1.C=CCC#CC(C)(C)O,,CC(C)(O)C#CCC1CC2C=CC1CC2
COC(=O)C=CC(=O)OC.COC(=O)C=CC=CC1=CC=CC=C1,,COC(=O)C1C=CC(C2=CC=CC=C2)C(C(=O)OC)C1C(=O)OC
C=C1CN(C2=CC=CC=C2)CC1=C.O=C1C=CC(=O)O1,,O=C1OC(=O)C2CC3=C(CC12)CN(C1=CC=CC=C1)C3
C=C(C)C(=O)OCC.C1=CCC=C1,,CCOC(=O)C1(C)CC2C=CC1C2
C=CC1=CCC(OC(=O)NCCCCCCCCCCC)COC1CCCCC.O=C1C=CC(=O)N1,,CCCCCCCCCCCNC(=O)OC1COC(CCCCC)C2=CCC3C(=O)NC(=O)C3C2C1
C=CC1=CCC(OC(=O)NCC2=CC=CC(Cl)=C2)COC1(C)C.O=C1C=CC(=O)N1,,CC1(C)OCC(OC(=O)NCC2=CC=CC(Cl)=C2)CC2C1=CCC1C(=O)NC(=O)C12
O=C1C=CC(=O)N1.COC1=CC=CC=C1C1=CC=C2CCCCC21C,,COC1=CC=CC=C1C12C=CC3(CCCCC31C)C1C(=O)NC(=O)C12
C1=CCC=C1.C=CP(=O)(OCC)OCC,,CCOP(=O)(OCC)C1CC2C=CC1C2
C=CC=CO[Si](C)(C)C.COC1=CC=CC2=C1C(=O)C(SC1=CC=CC=C1)=CC2=O,,COC1=CC=CC2=C1C(=O)C1(SC3=CC=CC=C3)C(O[Si](C)(C)C)C=CCC1C2=O
CCOC(=O)C=CC(=O)OCC.C=CC(=CC1=CC=C(F)C=C1)OC,,CCOC(=O)C1CC=C(OC)C(C2=CC=C(F)C=C2)C1C(=O)OCC
